year,team,avg,points
2022,Memphis,84.53,176.39
2022,California,86.39,175.53
2022,Washington State,84.26,175.48
2022,UCLA,89.04,175.37
2022,Boise State,84.5,174.52
2022,Kansas State,85.16,173.32
2022,NC State,87.61,171.26
2022,Virginia,85.06,169.89
2022,San Diego State,84.66,168.39
2022,Arkansas State,84.37,166.63
2022,Syracuse,85.33,166.16
2022,Coastal Carolina,83.39,165.67
2022,USC,92.31,165.48
2022,Wake Forest,86.13,164.19
2022,Fresno State,82.89,162.85
2022,UTSA,84.69,162.04
2022,Tulane,84.21,160.73
2022,Southern Miss,82.91,153.89
2022,Pittsburgh,86.56,153.09
2022,Miami (OH),83.37,152.97
2022,Utah State,82.51,152.31
2022,San Jose State,83.28,151.92
2022,Buffalo,83.03,148.29
2022,Colorado State,84.35,146.67
2022,SMU,85.9,146.38
2022,Appalachian State,83.48,144.67
2022,Central Michigan,82.55,144.51
2022,East Carolina,82.95,143.29
2022,UAB,82.2,142.49
2022,Northern Illinois,81.5,142.15
2022,Louisiana Tech,84.25,140.27
2022,Western Kentucky,82.72,136.74
2022,Kent State,81.59,136.64
2022,South Florida,84.65,136.48
2022,Toledo,83.19,134.89
2022,Wyoming,81.84,133.87
2022,Ball State,80.95,130.55
2022,Washington,86.08,129.55
2022,Campbell,84.47,126.38
2022,Liberty,83.77,126.37
2022,FIU,81.95,124.38
2022,Georgia State,81.57,124.06
2022,UNLV,83.97,121.78
2022,Temple,84.0,121.74
2022,New Mexico,80.04,121.59
2022,Arizona State,85.07,120.69
2022,South Alabama,82.14,119.39
2022,Western Michigan,82.05,119.04
2022,Old Dominion,82.75,118.85
2022,Charlotte,82.63,117.06
2022,New Mexico State,80.56,117.0
2022,Georgia Southern,83.35,115.78
2022,Louisiana,84.47,115.71
2022,Tulsa,82.09,113.34
2022,UConn,82.91,112.35
2022,Middle Tennessee,83.91,110.93
2022,Air Force,81.76,110.12
2022,Nevada,82.36,108.19
2022,Bowling Green,82.17,106.36
2022,Kansas,84.53,106.28
2022,North Texas,81.84,102.95
2022,Rice,82.81,102.87
2022,Sam Houston,83.88,101.32
2022,Jackson State,90.73,100.92
2022,Grambling State,84.64,96.14
2022,Hawaii,81.81,95.21
2022,Florida Atlantic,81.68,94.73
2022,UMass,80.78,94.72
2022,UTEP,80.44,90.95
2022,Central Arkansas,83.93,90.76
2022,Western Carolina,82.12,88.26
2022,Akron,82.43,81.7
2022,Eastern Michigan,83.63,77.97
2022,Troy,81.37,65.19
2022,Murray State,84.38,56.42
2022,Princeton,84.35,56.25
2022,Ohio,83.68,53.67
2022,Texas State,80.61,51.34
2022,Louisiana-Monroe,80.16,49.36
2022,North Dakota State,85.65,46.49
2022,Harvard,85.48,46.06
2022,Southeastern Louisiana,85.31,45.52
2022,Navy,80.56,41.48
2022,Abilene Christian,83.55,40.24
2022,Army,79.75,38.31
2022,Grand Valley State,82.13,36.11
2022,Florida A&M,80.94,32.58
2022,Northern Arizona,80.85,32.26
2022,Mercer,85.83,31.58
2022,Georgetown,80.59,31.52
2022,Youngstown State,85.46,30.85
2022,Austin Peay,85.34,30.6
2022,South Carolina State,84.53,28.97
2022,Yale,84.42,28.75
2022,Idaho,83.69,27.31
2022,Missouri State,83.67,27.25
2022,Northern Iowa,83.47,26.87
2022,Jacksonville State,82.73,25.39
2022,Southern Illinois,82.67,25.26
2022,Portland State,81.95,23.86
2022,Chattanooga,81.86,23.66
2022,Richmond,79.67,19.28
2022,Eastern Kentucky,89.26,19.26
2022,Gardner-Webb,88.04,18.04
2022,Texas Southern,87.37,17.37
2022,East Tennessee State,86.89,16.89
2022,Holy Cross,85.85,15.85
2022,Northwestern State,85.78,15.78
2022,North Alabama,85.17,15.17
2022,East Texas A&M,84.33,14.33
2022,Tennessee Tech,84.17,14.17
2022,Howard,84.17,14.17
2022,Eastern Washington,83.67,13.67
2022,Western Illinois,83.0,13.0
2022,UC Davis,82.81,12.81
2022,Sacramento State,82.67,12.67
2022,Monmouth,82.67,12.67
2022,Lehigh,82.56,12.56
2022,Pennsylvania,82.28,12.28
2022,Bethune-Cookman,82.28,12.28
2022,Villanova,82.17,12.17
2022,Furman,82.17,12.17
2022,Weber State,82.17,12.17
2022,Southeast Missouri State,81.67,11.67
2022,Lamar,81.67,11.67
2022,LIU,81.56,11.56
2022,Utah Tech,81.33,11.33
2022,North Carolina Central,81.17,11.17
2022,Alabama A&M,81.17,11.17
2022,North Carolina A&T,81.17,11.17
2022,Rhode Island,80.67,10.67
2022,UT Martin,80.44,10.44
2022,Towson,80.06,10.06
2022,The Citadel,79.89,9.89
2022,Stephen F. Austin,79.44,9.44
2022,Bucknell,78.83,8.83
2022,Montana State,78.33,8.33
2023,Alabama,94.88,328.0
2023,Georgia,94.06,315.67
2023,Texas,92.96,306.31
2023,Ohio State,93.44,290.72
2023,Oklahoma,91.47,289.03
2023,LSU,91.83,288.7
2023,Miami,91.59,285.13
2023,USC,91.67,280.44
2023,Oregon,90.9,278.44
2023,Tennessee,90.99,276.4
2023,Clemson,90.78,273.39
2023,Notre Dame,91.77,272.74
2023,Florida,91.41,271.43
2023,Penn State,91.14,270.1
2023,Texas A&M,91.6,268.85
2023,South Carolina,89.81,256.14
2023,Michigan,89.09,245.13
2023,Auburn,89.36,242.9
2023,Florida State,89.61,239.37
2023,TCU,88.7,235.07
2023,Utah,88.69,234.58
2023,Michigan State,88.79,229.39
2023,Arkansas,88.48,229.38
2023,Ole Miss,89.9,227.96
2023,Nebraska,87.26,224.12
2023,Washington,88.17,223.92
2023,Mississippi State,87.48,223.06
2023,Texas Tech,87.67,222.02
2023,Louisville,89.21,221.44
2023,North Carolina,87.69,220.03
2023,Colorado,87.69,219.75
2023,Missouri,87.58,213.63
2023,Kentucky,87.89,212.42
2023,Kansas State,86.54,212.31
2023,Baylor,87.48,210.79
2023,Maryland,86.37,206.46
2023,Illinois,86.08,206.29
2023,UCLA,88.83,206.15
2023,Virginia Tech,86.44,205.58
2023,Iowa State,86.56,204.94
2023,Arizona,85.77,204.94
2023,Iowa,86.79,204.36
2023,NC State,87.49,204.08
2023,Stanford,87.01,203.62
2023,Arizona State,86.58,201.23
2023,Minnesota,86.66,201.22
2023,Northwestern,86.95,200.11
2023,West Virginia,86.61,199.09
2023,Oregon State,85.88,198.72
2023,UCF,87.79,196.98
2023,Houston,86.32,196.36
2023,Pittsburgh,86.66,196.32
2023,Vanderbilt,85.94,195.39
2023,Oklahoma State,85.69,194.4
2023,Wake Forest,85.94,193.23
2023,Duke,85.64,191.8
2023,Rutgers,85.88,190.36
2023,BYU,85.28,188.74
2023,Wisconsin,87.32,188.21
2023,UTSA,85.06,187.6
2023,Georgia Tech,85.78,186.74
2023,Memphis,84.38,186.18
2023,Boston College,86.12,185.3
2023,Washington State,84.96,184.96
2023,Virginia,85.4,180.69
2023,East Carolina,84.7,180.54
2023,Boise State,84.43,179.7
2023,Colorado State,83.9,179.33
2023,Indiana,86.35,177.6
2023,Purdue,86.25,175.09
2023,Tulane,84.2,172.87
2023,SMU,85.35,171.15
2023,San Diego State,83.82,170.84
2023,Kansas,86.17,169.88
2023,Arkansas State,83.49,168.45
2023,Cincinnati,87.29,167.89
2023,Syracuse,84.59,165.78
2023,South Florida,84.91,165.19
2023,Florida Atlantic,83.77,164.83
2023,Fresno State,83.14,164.24
2023,Louisiana Tech,83.38,163.34
2023,Rice,82.22,163.01
2023,California,86.15,162.74
2023,Temple,82.62,162.37
2023,Southern Miss,82.69,162.19
2023,Appalachian State,83.35,161.99
2023,Louisiana,83.37,161.64
2023,Buffalo,82.11,160.26
2023,Eastern Michigan,82.68,159.68
2023,UAB,84.11,156.39
2023,FIU,82.93,153.61
2023,South Alabama,84.46,153.0
2023,Utah State,82.71,152.99
2023,Troy,83.0,151.93
2023,Campbell,81.88,150.17
2023,Central Michigan,78.58,150.11
2023,Idaho,81.09,149.3
2023,Texas State,83.96,148.57
2023,Army,81.01,148.48
2023,Western Michigan,82.72,147.73
2023,Ohio,82.07,146.55
2023,North Texas,83.58,145.67
2023,Hawaii,81.19,144.22
2023,UTEP,80.64,142.62
2023,Northern Illinois,81.39,142.13
2023,Georgia Southern,81.83,141.44
2023,Sam Houston,82.9,141.34
2023,Nevada,82.13,141.14
2023,Ball State,82.11,139.88
2023,New Mexico State,80.75,139.81
2023,Air Force,80.79,139.12
2023,Portland State,80.35,138.28
2023,Toledo,82.89,136.97
2023,Liberty,83.03,135.09
2023,Old Dominion,82.33,133.93
2023,New Mexico,81.09,133.18
2023,San Jose State,80.66,132.14
2023,Cal Poly,81.57,130.43
2023,Wyoming,81.46,129.73
2023,Akron,80.91,128.05
2023,Coastal Carolina,83.79,127.65
2023,Miami (OH),81.92,127.52
2023,Tulsa,83.15,121.89
2023,Georgia State,82.42,121.63
2023,Princeton,82.52,116.33
2023,UNLV,80.83,115.43
2023,UC Davis,82.0,112.24
2023,Middle Tennessee,82.19,105.66
2023,Bowling Green,81.94,103.84
2023,Kent State,81.03,103.37
2023,Sacramento State,81.83,102.45
2023,Marshall,82.61,101.71
2023,Jackson State,83.89,101.51
2023,North Dakota State,80.11,94.4
2023,Louisiana-Monroe,80.41,92.56
2023,Weber State,82.42,91.33
2023,Navy,81.15,89.42
2023,Eastern Washington,80.12,89.22
2023,UMass,82.04,88.27
2023,Grand Valley State,78.67,87.35
2023,Charlotte,83.21,86.71
2023,Northern Arizona,81.5,83.94
2023,Western Carolina,82.76,83.34
2023,Austin Peay,83.58,77.84
2023,Harvard,83.48,77.04
2023,Missouri State,80.25,75.46
2023,Montana State,80.25,75.29
2023,Montana,79.26,74.58
2023,Yale,80.09,74.34
2023,Utah Tech,80.66,70.06
2023,Idaho State,80.57,69.7
2023,Northern Iowa,78.44,68.16
2023,Florida A&M,83.77,66.67
2023,Western Kentucky,83.72,66.56
2023,Southern Utah,80.0,65.57
2023,Southern Illinois,78.36,55.35
2023,Pennsylvania,81.15,54.16
2023,Colgate,82.63,49.66
2023,South Dakota,79.71,47.09
2023,Incarnate Word,85.55,46.19
2023,San Diego,79.2,44.65
2023,Houston Christian,83.88,41.23
2023,Southeast Missouri State,80.46,41.16
2023,Illinois State,79.83,38.66
2023,Tennessee Tech,82.33,36.68
2023,Grambling State,82.15,36.08
2023,UConn,82.04,35.85
2023,Duquesne,82.0,35.7
2023,Tarleton State,81.8,35.1
2023,Delaware,81.5,34.18
2023,Indiana State,78.25,32.5
2023,Howard,85.03,29.98
2023,Eastern Kentucky,83.97,27.87
2023,Jacksonville State,83.93,27.77
2023,Youngstown State,79.33,27.75
2023,North Dakota,77.0,27.54
2023,Central Arkansas,83.81,27.53
2023,Stephen F. Austin,83.76,27.45
2023,Northern Colorado,83.49,26.9
2023,James Madison,82.96,25.85
2023,Dartmouth,81.08,22.11
2023,South Dakota State,77.0,20.83
2023,Butler,77.0,20.81
2023,Western Illinois,76.67,19.84
2023,Presbyterian,79.58,19.12
2023,Eastern Illinois,79.39,18.75
2023,Valparaiso,79.0,17.96
2023,McNeese,87.03,17.03
2023,Arkansas-Pine Bluff,86.22,16.22
2023,Texas Southern,85.11,15.11
2023,Abilene Christian,85.08,15.08
2023,Villanova,85.0,15.0
2023,Murray State,84.78,14.78
2023,The Citadel,84.37,14.37
2023,Mississippi Valley State,83.17,13.17
2023,Southern,82.78,12.78
2023,Kennesaw State,82.37,12.37
2023,Furman,82.04,12.04
2023,East Tennessee State,82.0,12.0
2023,Fordham,82.0,12.0
2023,Alcorn State,82.0,12.0
2023,Wofford,82.0,12.0
2023,Chattanooga,81.7,11.7
2023,Alabama State,81.7,11.7
2023,Monmouth,81.5,11.5
2023,Gardner-Webb,81.0,11.0
2023,Bethune-Cookman,80.0,10.0
2023,Savannah State,80.0,10.0
2023,Georgetown,79.0,9.0
2023,Brown,79.0,9.0
2023,Lindenwood,79.0,9.0
2023,Holy Cross,78.0,8.0
2023,Columbia,77.0,7.0
2023,Tennessee State,77.0,7.0
2023,Morgan State,77.0,7.0
2023,Davidson,77.0,7.0
2023,Towson,77.0,7.0
2023,New Hampshire,76.0,6.0
2023,Alabama A&M,75.0,5.0
2023,Maine,74.0,4.0
2023,Drake,72.0,2.0
2024,Georgia,93.37,317.19
2024,Alabama,93.12,310.74
2024,Oregon,92.19,293.2
2024,Miami,91.0,291.52
2024,Ohio State,92.79,289.1
2024,Texas,92.37,286.9
2024,LSU,90.82,278.74
2024,Oklahoma,90.84,275.6
2024,Notre Dame,91.46,275.56
2024,Auburn,92.1,275.39
2024,Clemson,90.63,272.16
2024,Florida State,90.9,271.74
2024,Florida,91.35,268.23
2024,Tennessee,91.16,267.23
2024,Penn State,90.59,266.9
2024,Michigan,90.27,261.9
2024,USC,90.15,253.75
2024,Nebraska,88.23,247.73
2024,Texas A&M,91.43,245.16
2024,Missouri,89.35,241.92
2024,Ole Miss,89.31,241.42
2024,South Carolina,90.74,239.73
2024,Wisconsin,89.33,239.08
2024,Kentucky,88.3,237.8
2024,Texas Tech,89.13,236.06
2024,North Carolina,87.84,228.81
2024,Purdue,87.4,226.74
2024,NC State,87.66,225.02
2024,Mississippi State,87.68,224.84
2024,Arkansas,88.41,221.13
2024,Stanford,87.14,217.16
2024,Iowa,87.64,215.38
2024,Georgia Tech,87.39,213.99
2024,TCU,87.08,213.86
2024,Syracuse,86.89,213.35
2024,Minnesota,87.52,213.06
2024,Rutgers,86.91,211.77
2024,Maryland,86.81,209.92
2024,UCF,88.12,208.14
2024,Vanderbilt,86.95,207.78
2024,Pittsburgh,86.37,205.38
2024,Michigan State,86.53,203.51
2024,Kansas,87.6,203.0
2024,BYU,85.79,202.7
2024,Virginia Tech,88.14,202.6
2024,West Virginia,86.58,202.07
2024,Washington,87.87,201.79
2024,Arizona State,86.58,199.47
2024,Illinois,86.66,198.83
2024,South Florida,85.43,197.61
2024,Cincinnati,86.36,196.86
2024,Wake Forest,86.22,196.47
2024,Oklahoma State,86.67,194.6
2024,California,86.2,192.82
2024,Iowa State,85.64,192.74
2024,Tulsa,84.7,192.03
2024,Louisville,87.09,190.64
2024,Kansas State,86.84,190.56
2024,Utah,87.27,188.94
2024,Houston,86.37,184.0
2024,Duke,86.65,183.9
2024,Washington State,84.53,183.61
2024,Baylor,86.86,183.26
2024,Boise State,84.82,183.13
2024,Toledo,84.53,180.6
2024,Indiana,85.88,179.89
2024,Tulane,85.09,179.27
2024,Memphis,84.63,178.36
2024,Arizona,85.85,177.13
2024,Oregon State,85.09,176.16
2024,Colorado State,84.41,175.58
2024,North Texas,83.15,172.22
2024,Florida Atlantic,84.14,172.07
2024,Western Michigan,83.34,171.51
2024,San Diego State,85.18,171.46
2024,East Carolina,84.12,171.37
2024,Charlotte,84.15,169.59
2024,Coastal Carolina,84.16,169.22
2024,Arkansas State,83.31,169.08
2024,Northwestern,84.75,168.87
2024,Southern Miss,83.35,168.26
2024,UNLV,83.51,168.14
2024,Troy,82.95,166.77
2024,Miami (OH),83.32,164.93
2024,UAB,84.04,164.73
2024,Fresno State,83.47,164.25
2024,Colorado,90.25,164.25
2024,Louisiana-Monroe,81.19,163.88
2024,Wyoming,82.56,163.8
2024,UTEP,82.16,163.5
2024,South Alabama,83.32,162.93
2024,UTSA,85.56,160.9
2024,Virginia,85.91,159.74
2024,Liberty,84.1,157.16
2024,UCLA,88.25,157.07
2024,Eastern Michigan,81.74,156.82
2024,Georgia Southern,82.43,156.6
2024,Ohio,82.95,156.49
2024,Appalachian State,83.17,155.02
2024,Louisiana,83.03,154.68
2024,Temple,82.22,153.4
2024,Boston College,85.28,153.23
2024,Kent State,81.55,152.94
2024,Texas State,83.04,152.53
2024,Bowling Green,82.09,150.45
2024,Louisiana Tech,82.32,150.44
2024,San Jose State,81.88,150.03
2024,Northern Illinois,82.27,149.96
2024,Marshall,83.74,149.75
2024,Western Kentucky,83.0,147.41
2024,Middle Tennessee,81.83,147.11
2024,Idaho,80.74,144.49
2024,James Madison,83.11,143.17
2024,Akron,82.48,142.52
2024,FIU,81.95,142.46
2024,SMU,86.5,142.05
2024,Hawaii,81.95,140.84
2024,Buffalo,81.77,140.65
2024,Ball State,80.94,140.08
2024,Central Michigan,81.98,139.75
2024,Utah State,82.45,139.63
2024,Portland State,80.47,139.53
2024,Nevada,82.85,139.29
2024,Georgia State,82.64,136.08
2024,UConn,83.06,133.58
2024,Cal Poly,82.11,132.67
2024,Air Force,79.97,132.54
2024,Montana State,82.22,127.34
2024,South Dakota State,82.54,126.57
2024,Kennesaw State,81.89,124.34
2024,Sam Houston,82.07,124.04
2024,Eastern Washington,80.77,123.33
2024,Rice,84.1,121.73
2024,UMass,82.49,121.44
2024,Jacksonville State,81.6,120.82
2024,Army,78.97,119.95
2024,Old Dominion,80.61,119.46
2024,North Dakota State,81.46,115.04
2024,UC Davis,82.99,112.1
2024,Houston Christian,84.19,103.31
2024,Stephen F. Austin,83.28,98.07
2024,Weber State,83.11,95.81
2024,Sacramento State,80.68,94.46
2024,Central Arkansas,84.4,93.99
2024,Bethune-Cookman,82.19,90.42
2024,Jackson State,83.07,86.19
2024,Navy,81.75,86.13
2024,Montana,79.6,83.91
2024,Idaho State,80.22,82.73
2024,Eastern Kentucky,81.05,81.88
2024,Harvard,81.06,81.03
2024,Southern Illinois,83.36,76.94
2024,Princeton,83.23,75.88
2024,Utah Tech,82.64,72.59
2024,Campbell,82.56,72.37
2024,Pennsylvania,80.8,71.28
2024,West Georgia,84.69,71.05
2024,New Mexico State,80.56,69.54
2024,Yale,80.54,69.2
2024,Lindenwood,79.84,64.96
2024,South Dakota,81.0,63.48
2024,Delaware,82.9,62.42
2024,Northern Iowa,82.64,61.74
2024,Lamar,82.5,60.62
2024,Grambling State,84.45,56.69
2024,Northern Arizona,84.13,55.49
2024,Tennessee State,84.08,55.2
2024,Grand Valley State,76.74,54.99
2024,Austin Peay,83.6,53.3
2024,Georgetown,82.75,50.06
2024,North Dakota,77.57,49.32
2024,Western Carolina,86.25,48.29
2024,Nicholls,85.83,47.08
2024,Southern Utah,79.6,46.6
2024,Chattanooga,85.0,44.57
2024,Murray State,84.7,43.72
2024,Holy Cross,80.87,42.9
2024,Alabama State,84.06,41.78
2024,Eastern Illinois,78.4,40.96
2024,Wofford,79.93,39.11
2024,San Diego,76.83,38.89
2024,Stony Brook,83.06,38.82
2024,Southeastern Louisiana,82.67,37.65
2024,Illinois State,79.5,37.31
2024,Indiana State,79.0,35.44
2024,Texas Southern,81.67,34.71
2024,East Tennessee State,81.67,34.66
2024,Howard,78.75,34.46
2024,Lehigh,81.08,32.99
2024,Monmouth,86.24,32.38
2024,Missouri State,80.67,31.73
2024,Southeast Missouri State,80.33,30.79
2024,Hampton,85.38,30.66
2024,Towson,85.25,30.41
2024,Mississippi Valley State,85.21,30.33
2024,Northern Colorado,80.02,29.79
2024,New Hampshire,84.71,29.33
2024,Abilene Christian,84.0,27.93
2024,McNeese,83.98,27.89
2024,Alabama A&M,83.5,26.92
2024,Duquesne,83.43,26.8
2024,New Mexico,83.35,26.63
2024,Villanova,83.25,26.42
2024,North Alabama,83.0,25.93
2024,Fordham,82.26,24.46
2024,Robert Morris,82.0,23.95
2024,Dayton,78.0,23.76
2024,Colgate,80.85,21.65
2024,Western Illinois,77.0,20.79
2024,Valparaiso,76.33,18.87
2024,Sacred Heart,79.33,18.64
2024,Brown,86.14,16.14
2024,Youngstown State,86.0,16.0
2024,Bryant,86.0,16.0
2024,Cornell,78.0,15.96
2024,Norfolk State,85.83,15.83
2024,LIU,85.0,15.0
2024,Albany,85.0,15.0
2024,Rhode Island,84.78,14.78
2024,North Carolina A&T,84.78,14.78
2024,North Carolina Central,84.22,14.22
2024,East Texas A&M,84.0,14.0
2024,Tennessee Tech,84.0,14.0
2024,Bucknell,77.0,13.96
2024,Furman,82.0,12.0
2024,Mercer,82.0,12.0
2024,Columbia,82.0,12.0
2024,Dartmouth,80.0,10.0
2024,Wagner,80.0,10.0
2024,Lafayette,80.0,10.0
2024,The Citadel,80.0,10.0
2024,Tarleton State,80.0,10.0
2024,Samford,79.0,9.0
2024,Saint Francis (PA),78.0,8.0
2024,Florida A&M,76.0,6.0
2025,Texas,93.63,312.27
2025,Georgia,93.03,304.64
2025,Alabama,93.42,298.4
2025,Ohio State,92.46,297.72
2025,Oregon,94.35,292.18
2025,Michigan,92.18,290.87
2025,Florida,91.12,287.77
2025,Auburn,91.57,286.89
2025,Texas A&M,91.89,282.42
2025,LSU,92.11,281.53
2025,Tennessee,91.32,277.93
2025,Notre Dame,91.02,270.22
2025,USC,90.05,262.74
2025,Miami,90.83,257.66
2025,Penn State,90.07,255.75
2025,Ole Miss,89.79,251.63
2025,Missouri,91.1,250.29
2025,Oklahoma,90.74,248.6
2025,South Carolina,88.85,244.27
2025,Florida State,89.01,244.11
2025,Georgia Tech,88.49,241.27
2025,Nebraska,89.65,237.53
2025,Washington,88.32,235.15
2025,TCU,87.62,230.41
2025,Maryland,88.11,228.43
2025,Clemson,90.48,227.23
2025,Wisconsin,88.4,226.13
2025,Mississippi State,87.64,226.13
2025,Kentucky,88.49,224.01
2025,Rutgers,87.71,222.19
2025,Duke,86.92,220.94
2025,SMU,87.52,220.85
2025,Arkansas,87.63,218.53
2025,Kansas State,87.08,213.85
2025,NC State,87.26,212.19
2025,North Carolina,85.95,211.72
2025,Baylor,86.8,211.06
2025,Colorado,89.43,209.08
2025,Utah,86.94,208.55
2025,Iowa,88.33,208.27
2025,UCLA,86.97,208.23
2025,Virginia Tech,87.41,208.19
2025,BYU,86.38,207.99
2025,Syracuse,86.16,206.47
2025,Arizona State,86.61,204.81
2025,Illinois,86.79,203.78
2025,Minnesota,86.27,202.95
2025,West Virginia,86.29,202.86
2025,Indiana,86.58,202.68
2025,Arizona,85.57,202.22
2025,Texas Tech,87.35,201.51
2025,Oklahoma State,86.74,201.22
2025,Pittsburgh,86.62,200.25
2025,Houston,86.81,198.73
2025,Iowa State,86.35,198.58
2025,Stanford,87.05,196.58
2025,Michigan State,86.89,196.1
2025,Virginia,86.8,195.76
2025,Boston College,85.96,195.09
2025,Memphis,86.15,194.42
2025,Boise State,85.25,192.05
2025,South Florida,85.28,190.49
2025,Wake Forest,85.65,189.9
2025,Cincinnati,86.04,189.52
2025,Oregon State,85.9,188.93
2025,Northwestern,85.9,187.75
2025,Washington State,84.45,186.44
2025,Georgia State,84.22,185.2
2025,California,85.8,184.75
2025,Tulane,85.62,184.73
2025,Louisville,86.41,183.1
2025,Toledo,84.74,180.64
2025,Georgia Southern,84.86,180.31
2025,Arkansas State,84.18,179.64
2025,UTEP,83.74,179.54
2025,Kansas,86.52,178.35
2025,East Carolina,84.3,178.31
2025,Eastern Michigan,83.68,173.39
2025,Vanderbilt,87.13,173.04
2025,Rice,83.99,171.55
2025,San Diego State,84.86,171.52
2025,Old Dominion,82.98,170.69
2025,UCF,87.55,170.04
2025,Louisiana,84.18,169.83
2025,Coastal Carolina,83.12,169.44
2025,Purdue,85.16,169.01
2025,Jacksonville State,84.23,168.49
2025,Texas State,83.56,168.03
2025,UNLV,84.91,167.61
2025,Sacramento State,83.62,167.34
2025,Northern Illinois,82.81,167.08
2025,Middle Tennessee,83.61,166.96
2025,Nevada,82.86,166.95
2025,Utah State,82.61,166.02
2025,Wyoming,82.63,165.71
2025,Miami (OH),83.61,165.07
2025,Liberty,85.56,165.02
2025,Troy,84.85,164.69
2025,Air Force,81.86,163.57
2025,Florida Atlantic,84.4,163.23
2025,Western Kentucky,83.67,161.75
2025,Bowling Green,83.44,160.44
2025,James Madison,84.38,159.61
2025,FIU,83.59,159.55
2025,Kent State,82.49,159.23
2025,Fresno State,82.55,158.35
2025,North Dakota State,81.77,157.58
2025,Buffalo,84.03,155.63
2025,Army,80.58,152.37
2025,Appalachian State,85.01,151.48
2025,UTSA,83.98,151.22
2025,South Alabama,83.62,150.53
2025,Louisiana Tech,83.52,149.99
2025,Southern Miss,83.74,149.76
2025,Tulsa,83.33,149.25
2025,New Mexico State,82.14,148.16
2025,UC Davis,81.76,145.03
2025,Colorado State,84.02,144.3
2025,Montana State,81.42,143.56
2025,Western Michigan,83.29,143.2
2025,San Jose State,82.04,143.04
2025,Ohio,83.13,141.22
2025,North Texas,83.83,141.07
2025,UConn,84.42,140.82
2025,Louisiana-Monroe,83.03,139.24
2025,Eastern Washington,80.76,137.13
2025,South Dakota State,81.88,134.6
2025,Temple,83.65,134.38
2025,Marshall,83.14,134.01
2025,Ball State,82.12,132.8
2025,Montana,81.33,129.98
2025,Central Michigan,83.09,121.14
2025,Navy,81.38,120.08
2025,Hawaii,81.61,119.1
2025,Idaho,79.88,118.36
2025,New Mexico,81.86,118.13
2025,Northern Arizona,82.72,117.83
2025,UAB,84.55,116.94
2025,Akron,82.18,114.13
2025,Sam Houston,83.02,113.32
2025,Cal Poly,81.98,112.62
2025,Grand Valley State,77.74,111.14
2025,Missouri State,83.33,107.14
2025,Youngstown State,82.71,102.22
2025,Illinois State,80.4,90.9
2025,UMass,83.62,89.12
2025,Howard,83.27,87.44
2025,Idaho State,79.82,86.37
2025,Portland State,80.64,86.24
2025,Delaware,83.14,85.71
2025,Cornell,81.36,84.24
2025,Western Illinois,81.33,83.7
2025,East Tennessee State,84.44,82.37
2025,Yale,81.02,81.62
2025,Harvard,82.17,79.95
2025,North Alabama,84.0,79.78
2025,Charlotte,82.14,79.77
2025,Jackson State,83.67,77.93
2025,Northern Iowa,83.5,77.22
2025,Tennessee State,83.41,76.43
2025,Indiana State,78.6,75.12
2025,Chattanooga,83.12,74.75
2025,Austin Peay,85.34,74.2
2025,Central Arkansas,85.2,73.59
2025,Southern Illinois,80.88,71.69
2025,Eastern Kentucky,83.94,67.48
2025,Columbia,80.05,66.44
2025,South Dakota,79.87,64.9
2025,Weber State,83.2,63.95
2025,Mercyhurst,80.93,63.01
2025,North Dakota,78.0,58.89
2025,West Georgia,84.78,57.97
2025,Dartmouth,80.0,57.62
2025,Stephen F. Austin,84.25,55.91
2025,Utah Tech,81.4,55.33
2025,Mercer,81.33,54.97
2025,Southern Utah,81.17,54.3
2025,Colgate,79.44,54.19
2025,Eastern Illinois,77.88,51.75
2025,Furman,83.17,51.64
2025,Saint Francis (PA),82.93,50.86
2025,Western Carolina,82.59,49.44
2025,Pennsylvania,81.5,45.09
2025,Texas Southern,85.12,44.99
2025,Towson,84.69,43.65
2025,Delaware State,84.39,42.78
2025,Kennesaw State,84.38,42.71
2025,Samford,84.33,42.57
2025,Southeastern Louisiana,84.33,42.57
2025,Charleston Southern,80.75,42.28
2025,Robert Morris,80.69,42.06
2025,Murray State,83.83,41.11
2025,Richmond,83.67,40.6
2025,Fordham,80.33,40.6
2025,Wofford,83.66,40.57
2025,Southeast Missouri State,82.67,37.76
2025,San Diego,78.79,34.59
2025,Duquesne,81.42,34.05
2025,Bucknell,78.0,31.53
2025,Alabama State,85.5,30.91
2025,Drake,75.8,28.09
2025,Alcorn State,84.0,27.92
2025,UT Martin,83.5,26.92
2025,Alabama A&M,83.0,25.94
2025,Lafayette,82.5,24.94
2025,McNeese,82.5,24.93
2025,Rhode Island,82.19,24.34
2025,Northern Colorado,82.0,23.93
2025,Morehead State,78.0,23.82
2025,Brown,78.0,23.78
2025,Georgetown,81.5,22.94
2025,Lehigh,81.5,22.93
2025,Lindenwood,77.67,22.79
2025,Campbell,81.26,22.47
2025,Bryant,80.79,21.54
2025,Prairie View A&M,84.78,14.78
2025,Morgan State,84.0,14.0
2025,Incarnate Word,84.0,14.0
2025,Valparaiso,77.0,13.99
2025,New Hampshire,77.0,13.98
2025,Lamar,83.31,13.31
2025,Gardner-Webb,83.0,13.0
2025,Hampton,83.0,13.0
2025,Dayton,74.33,12.9
2025,Presbyterian,82.52,12.52
2025,North Carolina Central,82.44,12.44
