year,team,recruiting_avg,recruiting_points,overall_avg,overall_points,transfer_avg,transfer_points
2013,sacramento state,80.49,31.16,,,,
2013,sam houston,80.51,20.96,,,,
2013,samford,78.05,46.1,,,,
2013,san diego state,80.85,151.17,,,,
2013,san jose state,76.26,83.62,,,,
2013,smu,80.47,148.4,,,,
2013,south alabama,78.57,123.16,,,,
2013,south carolina,87.98,224.01,,,,
2013,south carolina state,78.83,50.71,,,,
2013,south dakota,76.67,6.67,,,,
2013,south dakota state,80.0,10.0,,,,
2013,southeast missouri state,76.67,6.67,,,,
2013,southeastern louisiana,78.63,17.21,,,,
2013,southern,77.22,21.62,,,,
2013,southern illinois,78.49,25.26,,,,
2013,southern miss,79.63,136.46,,,,
2013,stanford,87.8,175.38,,,,
2013,stephen f. austin,77.12,21.18,,,,
2013,stetson,77.98,7.98,,,,
2013,stony brook,79.89,19.72,,,,
2013,syracuse,81.28,144.37,,,,
2013,tcu,84.57,194.83,,,,
2013,temple,78.88,140.29,,,,
2013,tennessee,85.86,214.06,,,,
2013,tennessee state,73.98,30.63,,,,
2013,tennessee tech,81.91,47.01,,,,
2013,texas,90.76,234.52,,,,
2013,texas a&m,89.21,267.75,,,,
2013,texas southern,73.33,3.33,,,,
2013,texas state,78.71,120.48,,,,
2013,texas tech,83.36,182.16,,,,
2013,the citadel,77.21,21.42,,,,
2013,toledo,80.63,141.96,,,,
2013,towson,74.98,9.94,,,,
2013,troy,77.18,114.51,,,,
2013,tulane,79.94,133.37,,,,
2013,tulsa,80.05,138.11,,,,
2013,uab,77.66,118.27,,,,
2013,uc davis,78.98,8.98,,,,
2013,ucf,81.04,139.32,,,,
2013,ucla,90.37,276.33,,,,
2013,uconn,81.32,160.61,,,,
2013,ul monroe,76.36,77.32,,,,
2013,unlv,78.27,117.06,,,,
2013,usc,96.37,256.44,,,,
2013,usf,82.99,173.74,,,,
2013,ut martin,78.82,8.82,,,,
2013,utah,83.2,181.27,,,,
2013,utah state,76.85,105.41,,,,
2013,utep,76.48,88.53,,,,
2013,utsa,78.09,108.72,,,,
2013,vanderbilt,86.04,211.23,,,,
2013,villanova,77.55,22.47,,,,
2013,virginia,85.6,201.88,,,,
2013,virginia military institute,76.98,13.93,,,,
2013,virginia tech,87.7,223.82,,,,
2013,wagner,83.06,13.06,,,,
2013,wake forest,81.0,153.0,,,,
2013,washington,87.22,234.2,,,,
2013,washington state,82.83,177.9,,,,
2013,weber state,76.67,6.67,,,,
2013,west virginia,84.87,201.03,,,,
2013,western carolina,72.61,7.83,,,,
2013,western illinois,76.67,6.67,,,,
2013,western kentucky,77.09,120.24,,,,
2013,western michigan,77.74,106.64,,,,
2013,william & mary,81.99,11.99,,,,
2013,wisconsin,84.64,191.08,,,,
2013,wofford,76.15,18.4,,,,
2013,wyoming,77.9,101.61,,,,
2013,yale,79.45,70.19,,,,
2013,youngstown state,71.51,9.05,,,,
2014,abilene christian,79.5,45.91,,,,
2014,air force,76.87,97.78,,,,
2014,akron,77.31,97.33,,,,
2014,alabama,93.65,319.71,,,,
2014,alabama state,75.06,20.09,,,,
2014,albany,80.79,42.37,,,,
2014,appalachian state,77.64,121.25,,,,
2014,arizona,84.02,213.29,,,,
2014,arizona state,86.22,223.19,,,,
2014,arkansas,85.8,215.5,,,,
2014,arkansas state,77.68,111.51,,,,
2014,army,76.31,87.22,,,,
2014,auburn,88.78,277.12,,,,
2014,austin peay,75.04,25.04,,,,
2014,ball state,78.42,107.53,,,,
2014,baylor,85.39,218.13,,,,
2014,bethune-cookman,76.89,20.62,,,,
2014,boise state,81.8,163.09,,,,
2014,boston college,82.71,177.12,,,,
2014,bowling green,77.53,102.64,,,,
2014,bucknell,73.16,6.31,,,,
2014,buffalo,77.75,108.06,,,,
2014,byu,82.0,161.71,,,,
2014,cal poly,76.67,6.67,,,,
2014,california,83.5,174.52,,,,
2014,campbell,71.98,5.95,,,,
2014,central arkansas,73.94,15.73,,,,
2014,central michigan,77.35,91.2,,,,
2014,charleston southern,75.12,48.6,,,,
2014,charlotte,75.81,89.2,,,,
2014,chattanooga,77.63,69.28,,,,
2014,cincinnati,81.25,161.43,,,,
2014,clemson,88.69,240.73,,,,
2014,coastal carolina,75.04,19.95,,,,
2014,colgate,73.33,13.26,,,,
2014,colorado,80.11,147.9,,,,
2014,colorado state,77.6,122.77,,,,
2014,columbia,76.67,6.67,,,,
2014,cornell,74.41,8.82,,,,
2014,delaware,72.93,20.34,,,,
2014,delaware state,79.86,9.86,,,,
2014,duke,84.18,166.35,,,,
2014,duquesne,78.32,8.32,,,,
2014,east carolina,79.6,136.87,,,,
2014,east tennessee state,74.8,23.78,,,,
2014,eastern illinois,74.88,24.03,,,,
2014,eastern kentucky,72.21,13.24,,,,
2014,eastern michigan,75.94,84.89,,,,
2014,eastern washington,75.55,16.52,,,,
2014,elon,76.67,6.67,,,,
2014,fiu,76.89,100.66,,,,
2014,florida,89.61,267.4,,,,
2014,florida atlantic,77.25,111.77,,,,
2014,florida state,90.13,286.79,,,,
2014,fordham,76.32,18.92,,,,
2014,fresno state,78.92,124.42,,,,
2014,furman,76.3,30.83,,,,
2014,georgetown,78.93,8.93,,,,
2014,georgia,90.97,273.39,,,,
2014,georgia southern,77.46,111.25,,,,
2014,georgia state,76.39,102.91,,,,
2014,georgia tech,84.04,175.71,,,,
2014,grambling state,76.59,13.18,,,,
2014,hampton,79.04,9.04,,,,
2014,harvard,80.46,41.25,,,,
2014,hawaii,76.45,108.34,,,,
2014,holy cross,73.9,15.49,,,,
2014,houston,80.9,144.26,,,,
2014,houston christian,74.67,9.34,,,,
2014,howard,73.98,3.98,,,,
2014,idaho,74.94,77.86,,,,
2014,idaho state,76.67,13.29,,,,
2014,illinois,82.25,153.35,,,,
2014,illinois state,76.55,75.99,,,,
2014,incarnate word,79.48,18.92,,,,
2014,indiana,82.35,180.46,,,,
2014,indiana state,77.73,30.33,,,,
2014,iowa,83.64,171.84,,,,
2014,iowa state,82.64,171.65,,,,
2014,jackson state,73.58,14.23,,,,
2014,jacksonville,76.48,12.94,,,,
2014,jacksonville state,76.29,47.91,,,,
2014,james madison,74.05,20.2,,,,
2014,kansas,83.16,177.14,,,,
2014,kansas state,82.17,178.29,,,,
2014,kennesaw state,73.71,32.95,,,,
2014,kent state,75.8,86.65,,,,
2014,kentucky,86.83,225.4,,,,
2014,lafayette,75.33,15.94,,,,
2014,lamar,86.46,16.46,,,,
2014,lehigh,71.86,7.43,,,,
2014,liberty,73.82,7.63,,,,
2014,louisiana,76.72,102.49,,,,
2014,louisiana tech,78.82,119.17,,,,
2014,louisville,83.96,183.64,,,,
2014,lsu,91.25,299.29,,,,
2014,maine,71.65,6.59,,,,
2014,marshall,80.17,165.64,,,,
2014,maryland,84.47,190.98,,,,
2014,massachusetts,76.34,87.9,,,,
2014,mcneese,77.11,14.19,,,,
2014,memphis,78.42,135.91,,,,
2014,mercer,75.94,23.5,,,,
2014,miami (fl),88.07,256.08,,,,
2014,miami (oh),75.47,84.76,,,,
2014,michigan,89.9,233.54,,,,
2014,michigan state,86.78,217.62,,,,
2014,middle tennessee,78.36,124.03,,,,
2014,minnesota,83.1,172.32,,,,
2014,mississippi state,84.84,199.92,,,,
2014,missouri,84.54,198.53,,,,
2014,missouri state,74.81,28.44,,,,
2014,monmouth,74.83,19.29,,,,
2014,montana state,73.32,6.64,,,,
2014,murray state,76.45,25.6,,,,
2014,navy,77.3,101.9,,,,
2014,nc state,84.44,201.31,,,,
2014,nebraska,84.95,200.24,,,,
2014,nevada,78.01,126.15,,,,
2014,new hampshire,75.61,11.22,,,,
2014,new mexico,76.62,112.56,,,,
2014,new mexico state,75.58,86.79,,,,
2014,nicholls,76.53,32.13,,,,
2014,norfolk state,78.64,8.64,,,,
2014,north carolina,86.28,213.58,,,,
2014,north carolina a&t,76.67,6.67,,,,
2014,north carolina central,78.89,8.89,,,,
2014,north dakota state,74.81,36.88,,,,
2014,north texas,77.01,105.0,,,,
2014,northern arizona,77.39,53.85,,,,
2014,northern colorado,76.9,20.55,,,,
2014,northern illinois,75.43,109.52,,,,
2014,northern iowa,73.05,24.32,,,,
2014,northwestern,85.79,182.68,,,,
2014,northwestern state,80.04,10.04,,,,
2014,notre dame,89.32,260.44,,,,
2014,ohio,76.52,105.12,,,,
2014,ohio state,90.59,296.08,,,,
2014,oklahoma,87.3,248.94,,,,
2014,oklahoma state,85.91,217.59,,,,
2014,old dominion,78.13,136.07,,,,
2014,ole miss,87.42,241.12,,,,
2014,oregon,87.87,232.44,,,,
2014,oregon state,81.7,166.96,,,,
2014,penn state,86.82,221.35,,,,
2014,pennsylvania,76.98,13.96,,,,
2014,pittsburgh,84.13,187.66,,,,
2014,portland state,77.2,63.88,,,,
2014,prairie view a&m,77.93,7.93,,,,
2014,presbyterian,74.22,12.63,,,,
2014,princeton,76.16,30.57,,,,
2014,purdue,82.45,156.02,,,,
2014,rhode island,78.5,17.0,,,,
2014,rice,79.16,117.7,,,,
2014,richmond,72.42,19.26,,,,
2014,robert morris,73.32,9.95,,,,
2014,rutgers,81.47,174.14,,,,
2014,sacramento state,76.67,6.67,,,,
2014,sam houston,76.67,13.29,,,,
2014,samford,77.0,34.42,,,,
2014,san diego state,79.8,147.92,,,,
2014,san jose state,78.93,124.98,,,,
2014,savannah state,73.57,14.24,,,,
2014,smu,78.55,128.23,,,,
2014,south alabama,76.46,96.08,,,,
2014,south carolina,88.87,239.33,,,,
2014,south carolina state,83.72,40.82,,,,
2014,south dakota,72.21,6.64,,,,
2014,south dakota state,75.76,17.23,,,,
2014,southeast missouri state,81.73,23.39,,,,
2014,southeastern louisiana,71.87,14.95,,,,
2014,southern illinois,77.19,41.96,,,,
2014,southern miss,78.11,125.74,,,,
2014,stanford,89.37,250.05,,,,
2014,stephen f. austin,76.67,6.67,,,,
2014,stony brook,77.19,35.51,,,,
2014,syracuse,82.72,176.87,,,,
2014,tarleton state,78.58,8.58,,,,
2014,tcu,83.07,188.64,,,,
2014,temple,80.35,156.27,,,,
2014,tennessee,89.5,274.77,,,,
2014,tennessee state,76.75,26.59,,,,
2014,tennessee tech,78.39,32.99,,,,
2014,texas,88.09,239.85,,,,
2014,texas a&m,90.99,278.08,,,,
2014,texas southern,71.97,1.97,,,,
2014,texas state,77.62,109.9,,,,
2014,texas tech,84.08,191.82,,,,
2014,the citadel,75.6,16.76,,,,
2014,toledo,78.13,115.38,,,,
2014,towson,74.37,21.77,,,,
2014,troy,74.22,64.21,,,,
2014,tulane,79.3,118.86,,,,
2014,tulsa,79.35,130.3,,,,
2014,uab,75.09,96.13,,,,
2014,uc davis,76.98,27.34,,,,
2014,ucf,83.18,159.55,,,,
2014,ucla,88.83,239.74,,,,
2014,uconn,77.91,98.31,,,,
2014,ul monroe,76.31,84.48,,,,
2014,unlv,76.75,91.15,,,,
2014,usc,87.03,264.86,,,,
2014,usf,84.32,189.74,,,,
2014,ut martin,73.64,10.84,,,,
2014,utah,83.05,160.67,,,,
2014,utah state,75.53,97.8,,,,
2014,utep,75.69,89.53,,,,
2014,utsa,76.73,81.73,,,,
2014,vanderbilt,83.37,183.05,,,,
2014,villanova,75.83,11.66,,,,
2014,virginia,85.83,205.34,,,,
2014,virginia tech,85.99,217.39,,,,
2014,wake forest,81.8,160.4,,,,
2014,washington,84.34,198.52,,,,
2014,washington state,83.28,176.62,,,,
2014,west virginia,84.12,194.85,,,,
2014,western carolina,71.5,10.5,,,,
2014,western illinois,73.89,15.51,,,,
2014,western kentucky,78.05,121.12,,,,
2014,western michigan,80.51,153.42,,,,
2014,william & mary,73.04,18.18,,,,
2014,wisconsin,84.78,205.44,,,,
2014,wofford,73.84,26.57,,,,
2014,wyoming,75.99,80.87,,,,
2014,yale,78.29,103.87,,,,
2014,youngstown state,73.79,18.81,,,,
2015,abilene christian,79.55,37.6,,,,
2015,air force,76.86,98.02,,,,
2015,akron,76.01,82.38,,,,
2015,alabama,93.73,311.1,,,,
2015,alabama state,74.99,9.97,,,,
2015,alcorn state,80.25,30.6,,,,
2015,appalachian state,78.42,112.03,,,,
2015,arizona,84.32,186.57,,,,
2015,arizona state,87.82,232.73,,,,
2015,arkansas,86.56,222.51,,,,
2015,arkansas state,80.15,131.45,,,,
2015,army,76.64,100.83,,,,
2015,auburn,90.16,278.31,,,,
2015,austin peay,71.21,35.12,,,,
2015,ball state,78.19,119.7,,,,
2015,baylor,85.2,195.88,,,,
2015,bethune-cookman,78.98,26.73,,,,
2015,boise state,83.61,171.68,,,,
2015,boston college,83.43,169.45,,,,
2015,bowling green,78.34,119.83,,,,
2015,bucknell,71.32,11.95,,,,
2015,buffalo,77.55,103.21,,,,
2015,butler,76.67,6.67,,,,
2015,byu,82.11,165.06,,,,
2015,cal poly,78.83,34.98,,,,
2015,california,84.63,198.77,,,,
2015,central arkansas,77.04,21.06,,,,
2015,central michigan,79.86,123.63,,,,
2015,charleston southern,71.86,11.13,,,,
2015,charlotte,77.44,86.91,,,,
2015,chattanooga,77.82,63.37,,,,
2015,cincinnati,81.85,162.45,,,,
2015,clemson,89.12,277.98,,,,
2015,coastal carolina,73.87,26.71,,,,
2015,colgate,78.79,26.17,,,,
2015,colorado,83.05,162.04,,,,
2015,colorado state,79.27,101.72,,,,
2015,columbia,74.73,9.46,,,,
2015,cornell,76.87,13.69,,,,
2015,dartmouth,75.32,26.36,,,,
2015,delaware,73.31,32.38,,,,
2015,delaware state,74.98,4.98,,,,
2015,duke,84.45,175.77,,,,
2015,duquesne,75.49,32.39,,,,
2015,east carolina,81.77,126.85,,,,
2015,east tennessee state,74.53,31.28,,,,
2015,east texas a&m,78.07,16.15,,,,
2015,eastern kentucky,75.51,11.01,,,,
2015,eastern michigan,77.33,110.15,,,,
2015,eastern washington,77.41,22.02,,,,
2015,elon,72.21,11.06,,,,
2015,fiu,78.96,120.42,,,,
2015,florida,87.26,227.46,,,,
2015,florida a&m,75.54,32.93,,,,
2015,florida atlantic,80.37,146.02,,,,
2015,florida state,92.54,287.06,,,,
2015,fordham,70.71,5.0,,,,
2015,fresno state,82.0,155.02,,,,
2015,furman,78.35,32.92,,,,
2015,gardner-webb,75.61,16.8,,,,
2015,georgetown,71.73,6.92,,,,
2015,georgia,89.74,282.54,,,,
2015,georgia southern,80.4,137.18,,,,
2015,georgia state,77.0,90.61,,,,
2015,georgia tech,84.46,185.45,,,,
2015,grand valley state,72.44,12.2,,,,
2015,hampton,82.87,12.87,,,,
2015,harvard,80.12,67.37,,,,
2015,hawaii,78.87,98.16,,,,
2015,holy cross,76.67,13.29,,,,
2015,houston,79.71,131.58,,,,
2015,idaho,76.76,98.54,,,,
2015,idaho state,78.57,8.57,,,,
2015,illinois,83.45,181.74,,,,
2015,illinois state,74.11,32.28,,,,
2015,incarnate word,80.79,21.52,,,,
2015,indiana,83.78,175.35,,,,
2015,indiana state,74.92,19.63,,,,
2015,iowa,83.26,169.99,,,,
2015,iowa state,82.37,166.5,,,,
2015,jackson state,74.78,9.56,,,,
2015,jacksonville state,78.77,59.0,,,,
2015,james madison,79.54,46.41,,,,
2015,kansas,81.18,153.94,,,,
2015,kansas state,83.39,175.02,,,,
2015,kennesaw state,71.44,15.83,,,,
2015,kent state,78.71,119.93,,,,
2015,kentucky,85.09,193.19,,,,
2015,lafayette,76.18,35.89,,,,
2015,lamar,71.58,6.31,,,,
2015,lehigh,74.26,21.25,,,,
2015,liberty,79.62,38.13,,,,
2015,louisiana,80.17,146.18,,,,
2015,louisiana tech,80.84,142.32,,,,
2015,louisville,85.4,201.4,,,,
2015,lsu,89.91,284.37,,,,
2015,maine,74.43,8.86,,,,
2015,marist,76.83,13.67,,,,
2015,marshall,80.55,149.98,,,,
2015,maryland,84.73,182.31,,,,
2015,massachusetts,77.81,118.12,,,,
2015,mcneese,73.64,10.93,,,,
2015,memphis,79.44,146.79,,,,
2015,mercer,72.64,23.29,,,,
2015,miami (fl),86.36,215.49,,,,
2015,miami (oh),79.79,150.48,,,,
2015,michigan,87.81,194.82,,,,
2015,michigan state,87.66,221.77,,,,
2015,middle tennessee,79.21,134.77,,,,
2015,minnesota,83.14,167.01,,,,
2015,mississippi state,87.69,237.46,,,,
2015,mississippi valley state,73.3,3.3,,,,
2015,missouri,86.44,217.98,,,,
2015,missouri state,75.0,10.0,,,,
2015,monmouth,75.09,35.02,,,,
2015,montana,82.48,37.09,,,,
2015,montana state,73.99,7.98,,,,
2015,murray state,79.32,9.32,,,,
2015,navy,77.6,114.7,,,,
2015,nc state,85.31,208.69,,,,
2015,nebraska,86.16,211.72,,,,
2015,nevada,79.61,122.5,,,,
2015,new hampshire,75.55,16.61,,,,
2015,new mexico,78.14,110.03,,,,
2015,new mexico state,76.19,87.78,,,,
2015,norfolk state,77.98,7.98,,,,
2015,north carolina,87.59,214.05,,,,
2015,north carolina central,81.23,11.23,,,,
2015,north dakota,75.62,22.25,,,,
2015,north dakota state,74.78,63.16,,,,
2015,north texas,78.89,126.6,,,,
2015,northern arizona,78.89,65.76,,,,
2015,northern colorado,83.33,13.33,,,,
2015,northern illinois,79.1,138.94,,,,
2015,northern iowa,75.79,39.11,,,,
2015,northwestern,84.07,174.83,,,,
2015,northwestern state,74.59,22.92,,,,
2015,notre dame,90.45,267.79,,,,
2015,ohio,78.1,128.68,,,,
2015,ohio state,90.31,279.6,,,,
2015,oklahoma,88.2,249.69,,,,
2015,oklahoma state,84.86,191.28,,,,
2015,old dominion,78.09,115.65,,,,
2015,ole miss,88.65,245.71,,,,
2015,oregon,88.71,245.79,,,,
2015,oregon state,83.45,167.89,,,,
2015,penn state,89.05,250.0,,,,
2015,pittsburgh,85.98,183.18,,,,
2015,portland state,76.67,13.29,,,,
2015,prairie view a&m,74.55,18.14,,,,
2015,presbyterian,75.65,16.93,,,,
2015,princeton,78.98,35.28,,,,
2015,purdue,81.75,162.85,,,,
2015,rhode island,75.22,25.89,,,,
2015,rice,79.05,120.11,,,,
2015,richmond,72.62,15.69,,,,
2015,robert morris,74.99,14.96,,,,
2015,rutgers,82.82,172.19,,,,
2015,sacramento state,76.67,6.67,,,,
2015,saint francis (pa),77.78,15.51,,,,
2015,sam houston,80.07,29.96,,,,
2015,samford,76.41,37.8,,,,
2015,san diego state,81.01,161.96,,,,
2015,san jose state,80.88,167.14,,,,
2015,smu,80.45,142.99,,,,
2015,south alabama,79.89,132.17,,,,
2015,south carolina,86.63,230.49,,,,
2015,south carolina state,76.22,36.33,,,,
2015,south dakota,77.64,37.56,,,,
2015,south dakota state,73.45,33.71,,,,
2015,southeast missouri state,76.2,36.75,,,,
2015,southeastern louisiana,78.24,24.51,,,,
2015,southern illinois,73.55,37.12,,,,
2015,southern miss,78.96,133.4,,,,
2015,southern utah,75.98,5.98,,,,
2015,stanford,87.04,220.65,,,,
2015,stephen f. austin,77.09,41.3,,,,
2015,stony brook,73.91,7.82,,,,
2015,syracuse,82.69,172.06,,,,
2015,tcu,85.63,191.44,,,,
2015,temple,80.12,143.34,,,,
2015,tennessee,89.48,286.26,,,,
2015,tennessee state,77.57,7.57,,,,
2015,tennessee tech,79.65,19.23,,,,
2015,texas,89.43,272.49,,,,
2015,texas a&m,89.03,270.61,,,,
2015,texas southern,77.2,21.52,,,,
2015,texas state,78.82,124.71,,,,
2015,texas tech,85.79,203.18,,,,
2015,the citadel,73.4,30.4,,,,
2015,toledo,80.39,138.12,,,,
2015,towson,79.69,47.49,,,,
2015,troy,78.42,107.58,,,,
2015,tulane,80.02,128.9,,,,
2015,tulsa,79.07,116.08,,,,
2015,uc davis,78.13,39.45,,,,
2015,ucf,83.55,160.78,,,,
2015,ucla,91.63,269.68,,,,
2015,uconn,79.28,120.89,,,,
2015,ul monroe,78.15,116.67,,,,
2015,unlv,78.81,119.46,,,,
2015,usc,92.28,310.88,,,,
2015,usf,83.14,163.15,,,,
2015,ut martin,76.74,39.72,,,,
2015,utah,84.65,183.38,,,,
2015,utah state,79.66,124.56,,,,
2015,utep,75.68,73.03,,,,
2015,utsa,78.45,119.88,,,,
2015,valparaiso,80.32,10.32,,,,
2015,vanderbilt,84.47,181.37,,,,
2015,villanova,72.91,34.1,,,,
2015,virginia,84.02,179.92,,,,
2015,virginia tech,86.35,212.07,,,,
2015,wake forest,82.98,176.85,,,,
2015,washington,85.77,215.83,,,,
2015,washington state,84.2,188.41,,,,
2015,weber state,77.27,35.75,,,,
2015,west virginia,84.75,198.02,,,,
2015,western carolina,78.9,43.67,,,,
2015,western illinois,75.82,28.88,,,,
2015,western kentucky,78.79,115.65,,,,
2015,western michigan,80.51,147.78,,,,
2015,william & mary,76.8,33.75,,,,
2015,wisconsin,85.5,189.85,,,,
2015,wofford,77.65,30.13,,,,
2015,wyoming,78.73,114.32,,,,
2015,yale,77.62,45.08,,,,
2015,youngstown state,75.33,21.21,,,,
2016,abilene christian,78.35,67.95,,,,
2016,air force,77.33,110.9,,,,
2016,akron,78.27,82.29,,,,
2016,alabama,92.54,302.04,,,,
2016,alabama a&m,78.42,8.42,,,,
2016,alabama state,78.75,26.02,,,,
2016,albany,76.38,25.3,,,,
2016,alcorn state,78.57,25.55,,,,
2016,appalachian state,78.2,111.72,,,,
2016,arizona,84.08,180.42,,,,
2016,arizona state,87.03,217.62,,,,
2016,arkansas,86.69,219.34,,,,
2016,arkansas state,79.65,132.18,,,,
2016,army,77.09,108.9,,,,
2016,auburn,90.65,275.14,,,,
2016,austin peay,76.93,67.88,,,,
2016,ball state,78.35,110.91,,,,
2016,baylor,86.03,191.99,,,,
2016,bethune-cookman,78.49,56.07,,,,
2016,boise state,82.28,160.66,,,,
2016,boston college,81.81,146.69,,,,
2016,bowling green,78.68,111.58,,,,
2016,brown,80.69,10.69,,,,
2016,bucknell,76.43,19.13,,,,
2016,buffalo,78.53,107.51,,,,
2016,byu,83.07,177.85,,,,
2016,cal poly,77.5,29.43,,,,
2016,california,85.09,207.8,,,,
2016,campbell,76.67,6.67,,,,
2016,central arkansas,78.48,62.3,,,,
2016,central connecticut state,76.67,6.67,,,,
2016,central michigan,79.2,112.52,,,,
2016,charleston southern,74.95,24.29,,,,
2016,charlotte,78.65,106.83,,,,
2016,chattanooga,78.67,34.03,,,,
2016,cincinnati,81.97,152.74,,,,
2016,clemson,90.3,271.16,,,,
2016,coastal carolina,75.81,97.11,,,,
2016,colgate,75.19,15.51,,,,
2016,colorado,83.53,160.42,,,,
2016,colorado state,80.94,150.5,,,,
2016,columbia,78.34,90.67,,,,
2016,cornell,82.21,12.21,,,,
2016,dartmouth,76.25,42.51,,,,
2016,delaware,76.63,32.74,,,,
2016,delaware state,76.66,19.92,,,,
2016,drake,75.31,5.31,,,,
2016,duke,86.04,204.67,,,,
2016,east carolina,80.22,146.62,,,,
2016,east texas a&m,79.17,18.29,,,,
2016,eastern illinois,78.45,25.15,,,,
2016,eastern kentucky,76.12,56.1,,,,
2016,eastern michigan,77.62,102.89,,,,
2016,eastern washington,78.75,64.63,,,,
2016,elon,75.22,15.61,,,,
2016,fiu,78.37,119.8,,,,
2016,florida,88.72,260.96,,,,
2016,florida a&m,78.4,63.31,,,,
2016,florida atlantic,80.18,132.74,,,,
2016,florida state,91.71,294.83,,,,
2016,fordham,76.39,19.12,,,,
2016,fresno state,80.17,137.22,,,,
2016,furman,73.37,45.22,,,,
2016,gardner-webb,77.45,29.25,,,,
2016,georgetown,76.67,19.96,,,,
2016,georgia,90.77,281.31,,,,
2016,georgia southern,80.32,149.4,,,,
2016,georgia state,77.6,96.32,,,,
2016,georgia tech,83.22,167.13,,,,
2016,grand valley state,74.58,60.25,,,,
2016,hampton,75.22,15.61,,,,
2016,harvard,79.19,74.84,,,,
2016,hawaii,78.95,111.87,,,,
2016,holy cross,79.43,18.82,,,,
2016,houston,85.62,201.5,,,,
2016,houston christian,79.95,9.95,,,,
2016,idaho,77.16,101.42,,,,
2016,idaho state,76.11,45.42,,,,
2016,illinois,81.26,153.64,,,,
2016,illinois state,75.92,34.92,,,,
2016,incarnate word,73.01,9.03,,,,
2016,indiana,83.67,172.23,,,,
2016,indiana state,75.71,39.37,,,,
2016,iowa,84.25,181.39,,,,
2016,iowa state,82.49,170.58,,,,
2016,jackson state,78.07,31.8,,,,
2016,jacksonville state,81.94,58.06,,,,
2016,james madison,76.78,55.72,,,,
2016,kansas,82.19,159.19,,,,
2016,kansas state,82.08,155.49,,,,
2016,kennesaw state,71.11,20.0,,,,
2016,kent state,77.2,82.77,,,,
2016,kentucky,85.04,204.07,,,,
2016,lafayette,77.24,14.44,,,,
2016,lamar,77.38,79.32,,,,
2016,lehigh,76.49,37.73,,,,
2016,liberty,76.14,35.65,,,,
2016,louisiana,78.46,115.83,,,,
2016,louisiana tech,79.26,128.91,,,,
2016,louisville,84.56,196.02,,,,
2016,lsu,91.35,295.03,,,,
2016,marshall,81.1,176.55,,,,
2016,maryland,84.23,190.15,,,,
2016,massachusetts,79.59,136.04,,,,
2016,mcneese,78.02,46.78,,,,
2016,memphis,81.81,165.98,,,,
2016,mercer,72.32,29.96,,,,
2016,miami (fl),88.63,231.78,,,,
2016,miami (oh),79.65,129.79,,,,
2016,michigan,89.86,280.38,,,,
2016,michigan state,88.87,239.13,,,,
2016,middle tennessee,79.55,128.26,,,,
2016,minnesota,83.91,182.22,,,,
2016,mississippi state,87.08,211.11,,,,
2016,missouri,85.05,188.37,,,,
2016,missouri state,76.98,27.34,,,,
2016,monmouth,72.94,8.82,,,,
2016,montana,78.1,75.88,,,,
2016,montana state,76.25,46.61,,,,
2016,morehead state,75.19,15.51,,,,
2016,morgan state,76.67,6.67,,,,
2016,murray state,76.25,42.71,,,,
2016,navy,78.17,132.07,,,,
2016,nc state,83.58,177.67,,,,
2016,nebraska,86.86,216.76,,,,
2016,nevada,78.16,118.76,,,,
2016,new hampshire,74.89,14.63,,,,
2016,new mexico,79.99,141.76,,,,
2016,new mexico state,77.24,94.49,,,,
2016,nicholls,78.65,41.98,,,,
2016,norfolk state,78.36,16.68,,,,
2016,north alabama,76.67,6.67,,,,
2016,north carolina,85.79,204.83,,,,
2016,north carolina a&t,77.32,14.61,,,,
2016,north carolina central,76.33,24.82,,,,
2016,north dakota,72.82,21.96,,,,
2016,north dakota state,76.95,77.25,,,,
2016,north texas,78.96,122.36,,,,
2016,northern arizona,77.35,75.01,,,,
2016,northern colorado,75.86,56.31,,,,
2016,northern illinois,78.25,111.4,,,,
2016,northern iowa,77.04,68.3,,,,
2016,northwestern,84.53,174.91,,,,
2016,northwestern state,77.3,35.3,,,,
2016,notre dame,89.0,249.43,,,,
2016,ohio,77.88,109.82,,,,
2016,ohio state,91.56,289.12,,,,
2016,oklahoma,88.49,238.73,,,,
2016,oklahoma state,84.67,184.33,,,,
2016,old dominion,77.95,106.63,,,,
2016,ole miss,90.42,281.69,,,,
2016,oregon,87.06,216.42,,,,
2016,oregon state,82.95,169.17,,,,
2016,penn state,88.08,237.79,,,,
2016,pennsylvania,77.12,53.42,,,,
2016,pittsburgh,85.63,209.23,,,,
2016,portland state,76.9,46.18,,,,
2016,prairie view a&m,77.53,29.53,,,,
2016,presbyterian,74.44,17.72,,,,
2016,princeton,80.75,42.21,,,,
2016,purdue,81.13,145.09,,,,
2016,rhode island,79.5,46.14,,,,
2016,rice,77.8,93.86,,,,
2016,richmond,77.68,57.89,,,,
2016,robert morris,77.04,21.06,,,,
2016,rutgers,82.86,163.8,,,,
2016,sacred heart,82.5,12.5,,,,
2016,sam houston,78.63,69.3,,,,
2016,samford,73.95,64.62,,,,
2016,san diego,77.04,20.91,,,,
2016,san diego state,80.19,141.93,,,,
2016,san jose state,80.46,137.84,,,,
2016,savannah state,78.15,24.24,,,,
2016,smu,81.42,152.27,,,,
2016,south alabama,79.08,134.08,,,,
2016,south carolina,86.02,216.77,,,,
