year,team,ranking_type,avg,points
2016,Miami,recruiting,88.63,231.78
2016,Arkansas,recruiting,86.69,219.34
2016,Arizona State,recruiting,87.03,217.62
2016,South Carolina,recruiting,86.02,216.77
2016,Nebraska,recruiting,86.86,216.76
2016,Oregon,recruiting,87.06,216.42
2016,Mississippi State,recruiting,87.08,211.11
2016,Washington,recruiting,87.42,209.87
2016,Pittsburgh,recruiting,85.63,209.23
2016,California,recruiting,85.09,207.8
2016,North Carolina,recruiting,85.79,204.83
2016,Duke,recruiting,86.04,204.67
2016,Kentucky,recruiting,85.04,204.07
2016,Wisconsin,recruiting,84.96,202.85
2016,Houston,recruiting,85.62,201.5
2016,Utah,recruiting,84.45,200.66
2016,Louisville,recruiting,84.56,196.02
2016,West Virginia,recruiting,83.08,194.45
2016,Baylor,recruiting,86.03,191.99
2016,Maryland,recruiting,84.23,190.15
2016,Virginia Tech,recruiting,84.85,190.06
2016,Missouri,recruiting,85.05,188.37
2016,Texas Tech,recruiting,84.0,184.64
2016,Oklahoma State,recruiting,84.67,184.33
2016,Minnesota,recruiting,83.91,182.22
2016,Iowa,recruiting,84.25,181.39
2016,Arizona,recruiting,84.08,180.42
2016,BYU,recruiting,83.07,177.85
2016,NC State,recruiting,83.58,177.67
2016,Marshall,recruiting,81.1,176.55
2016,Northwestern,recruiting,84.53,174.91
2016,Indiana,recruiting,83.67,172.23
2016,Vanderbilt,recruiting,83.41,171.54
2016,Iowa State,recruiting,82.49,170.58
2016,Washington State,recruiting,82.96,169.74
2016,Wake Forest,recruiting,83.19,169.4
2016,Oregon State,recruiting,82.95,169.17
2016,Temple,recruiting,81.58,167.55
2016,Georgia Tech,recruiting,83.22,167.13
2016,Memphis,recruiting,81.81,165.98
2016,Syracuse,recruiting,83.45,165.15
2016,Virginia,recruiting,82.51,164.95
2016,Rutgers,recruiting,82.86,163.8
2016,UCF,recruiting,82.62,162.22
2016,South Florida,recruiting,84.06,161.21
2016,Western Michigan,recruiting,81.68,160.72
2016,Boise State,recruiting,82.28,160.66
2016,Colorado,recruiting,83.53,160.42
2016,Kansas,recruiting,82.19,159.19
2016,UAB,recruiting,79.73,158.61
2016,Kansas State,recruiting,82.08,155.49
2016,Illinois,recruiting,81.26,153.64
2016,Cincinnati,recruiting,81.97,152.74
2016,SMU,recruiting,81.42,152.27
2016,Colorado State,recruiting,80.94,150.5
2016,Georgia Southern,recruiting,80.32,149.4
2016,Boston College,recruiting,81.81,146.69
2016,East Carolina,recruiting,80.22,146.62
2016,Purdue,recruiting,81.13,145.09
2016,UNLV,recruiting,79.37,142.78
2016,San Diego State,recruiting,80.19,141.93
2016,New Mexico,recruiting,79.99,141.76
2016,San Jose State,recruiting,80.46,137.84
2016,Fresno State,recruiting,80.17,137.22
2016,UMass,recruiting,79.59,136.04
2016,South Alabama,recruiting,79.08,134.08
2016,Toledo,recruiting,79.92,132.92
2016,Florida Atlantic,recruiting,80.18,132.74
2016,Arkansas State,recruiting,79.65,132.18
2016,Navy,recruiting,78.17,132.07
2016,Utah State,recruiting,80.06,130.65
2016,Miami (OH),recruiting,79.65,129.79
2016,Louisiana Tech,recruiting,79.26,128.91
2016,Tulsa,recruiting,79.98,128.52
2016,Middle Tennessee,recruiting,79.55,128.26
2016,Tulane,recruiting,79.56,127.78
2016,Troy,recruiting,78.54,127.73
2016,UConn,recruiting,80.19,126.83
2016,Southern Miss,recruiting,79.65,126.05
2016,Western Kentucky,recruiting,80.13,124.1
2016,North Texas,recruiting,78.96,122.36
2016,UTSA,recruiting,79.11,120.32
2016,FIU,recruiting,78.37,119.8
2016,Nevada,recruiting,78.16,118.76
2016,Louisiana,recruiting,78.46,115.83
2016,Central Michigan,recruiting,79.2,112.52
2016,Hawaii,recruiting,78.95,111.87
2016,Appalachian State,recruiting,78.2,111.72
2016,Texas State,recruiting,78.38,111.71
2016,Bowling Green,recruiting,78.68,111.58
2016,Northern Illinois,recruiting,78.25,111.4
2016,Ball State,recruiting,78.35,110.91
2016,Air Force,recruiting,77.33,110.9
2016,Ohio,recruiting,77.88,109.82
2016,Wyoming,recruiting,77.7,109.65
2016,Army,recruiting,77.09,108.9
2016,Buffalo,recruiting,78.53,107.51
2016,Charlotte,recruiting,78.65,106.83
2016,Old Dominion,recruiting,77.95,106.63
2016,Eastern Michigan,recruiting,77.62,102.89
2016,Yale,recruiting,80.22,102.29
2016,Idaho,recruiting,77.16,101.42
2016,Louisiana-Monroe,recruiting,77.88,99.51
2016,UTEP,recruiting,77.54,99.39
2016,Coastal Carolina,recruiting,75.81,97.11
2016,Georgia State,recruiting,77.6,96.32
2016,New Mexico State,recruiting,77.24,94.49
2016,Rice,recruiting,77.8,93.86
2016,Columbia,recruiting,78.34,90.67
2016,Kent State,recruiting,77.2,82.77
2016,Akron,recruiting,78.27,82.29
2016,Tennessee State,recruiting,79.19,81.09
2016,Stephen F. Austin,recruiting,73.53,79.35
2016,Lamar,recruiting,77.38,79.32
2016,North Dakota State,recruiting,76.95,77.25
2016,Montana,recruiting,78.1,75.88
2016,Northern Arizona,recruiting,77.35,75.01
2016,Harvard,recruiting,79.19,74.84
2016,Sam Houston,recruiting,78.63,69.3
2016,UC Davis,recruiting,78.53,69.2
2016,Northern Iowa,recruiting,77.04,68.3
2016,Abilene Christian,recruiting,78.35,67.95
2016,Austin Peay,recruiting,76.93,67.88
2016,Eastern Washington,recruiting,78.75,64.63
2016,Samford,recruiting,73.95,64.62
2016,Florida A&M,recruiting,78.4,63.31
2016,Central Arkansas,recruiting,78.48,62.3
2016,South Dakota State,recruiting,77.18,61.31
2016,Grand Valley State,recruiting,74.58,60.25
2016,Jacksonville State,recruiting,81.94,58.06
2016,Richmond,recruiting,77.68,57.89
2016,Northern Colorado,recruiting,75.86,56.31
2016,Eastern Kentucky,recruiting,76.12,56.1
2016,Bethune-Cookman,recruiting,78.49,56.07
2016,James Madison,recruiting,76.78,55.72
2016,Southeast Missouri State,recruiting,79.46,55.17
2016,Pennsylvania,recruiting,77.12,53.42
2016,South Dakota,recruiting,75.47,49.75
2016,Tennessee Tech,recruiting,74.7,49.02
2016,Weber State,recruiting,78.39,48.18
2016,Western Carolina,recruiting,78.34,47.73
2016,McNeese,recruiting,78.02,46.78
2016,Wofford,recruiting,76.27,46.72
2016,Montana State,recruiting,76.25,46.61
2016,Youngstown State,recruiting,79.41,46.34
2016,Portland State,recruiting,76.9,46.18
2016,Rhode Island,recruiting,79.5,46.14
2016,Idaho State,recruiting,76.11,45.42
2016,Furman,recruiting,73.37,45.22
2016,Murray State,recruiting,76.25,42.71
2016,Dartmouth,recruiting,76.25,42.51
2016,Princeton,recruiting,80.75,42.21
2016,Nicholls,recruiting,78.65,41.98
2016,Southeastern Louisiana,recruiting,76.03,40.99
2016,Indiana State,recruiting,75.71,39.37
2016,Southern Utah,recruiting,77.84,38.01
2016,Lehigh,recruiting,76.49,37.73
2016,Towson,recruiting,79.52,37.47
2016,Liberty,recruiting,76.14,35.65
2016,Northwestern State,recruiting,77.3,35.3
2016,Illinois State,recruiting,75.92,34.92
2016,Chattanooga,recruiting,78.67,34.03
2016,Delaware,recruiting,76.63,32.74
2016,Jackson State,recruiting,78.07,31.8
2016,Villanova,recruiting,76.24,30.97
2016,Mercer,recruiting,72.32,29.96
2016,Prairie View A&M,recruiting,77.53,29.53
2016,Cal Poly,recruiting,77.5,29.43
2016,Gardner-Webb,recruiting,77.45,29.25
2016,William & Mary,recruiting,73.99,27.71
2016,South Carolina State,recruiting,79.29,27.65
2016,Missouri State,recruiting,76.98,27.34
2016,Southern,recruiting,78.89,26.44
2016,Alabama State,recruiting,78.75,26.02
2016,Alcorn State,recruiting,78.57,25.55
2016,Stony Brook,recruiting,76.39,25.36
2016,Albany,recruiting,76.38,25.3
2016,Eastern Illinois,recruiting,78.45,25.15
2016,North Carolina Central,recruiting,76.33,24.82
2016,Charleston Southern,recruiting,74.95,24.29
2016,Savannah State,recruiting,78.15,24.24
2016,North Dakota,recruiting,72.82,21.96
2016,Robert Morris,recruiting,77.04,21.06
2016,San Diego,recruiting,77.04,20.91
2016,Virginia Military Institute,recruiting,76.77,20.11
2016,Kennesaw State,recruiting,71.11,20.0
2016,Georgetown,recruiting,76.67,19.96
2016,Delaware State,recruiting,76.66,19.92
2016,Bucknell,recruiting,76.43,19.13
2016,Fordham,recruiting,76.39,19.12
2016,Holy Cross,recruiting,79.43,18.82
2016,East Texas A&M,recruiting,79.17,18.29
2016,Presbyterian,recruiting,74.44,17.72
2016,Norfolk State,recruiting,78.36,16.68
2016,Southern Illinois,recruiting,74.17,16.63
2016,Hampton,recruiting,75.22,15.61
2016,Elon,recruiting,75.22,15.61
2016,Morehead State,recruiting,75.19,15.51
2016,Colgate,recruiting,75.19,15.51
2016,New Hampshire,recruiting,74.89,14.63
2016,North Carolina A&T,recruiting,77.32,14.61
2016,Lafayette,recruiting,77.24,14.44
2016,Sacred Heart,recruiting,82.5,12.5
2016,Cornell,recruiting,82.21,12.21
2016,UT Martin,recruiting,75.99,11.94
2016,Western Illinois,recruiting,73.76,11.29
2016,Brown,recruiting,80.69,10.69
2016,Houston Christian,recruiting,79.95,9.95
2016,Incarnate Word,recruiting,73.01,9.03
2016,Monmouth,recruiting,72.94,8.82
2016,Alabama A&M,recruiting,78.42,8.42
2016,The Citadel,recruiting,72.56,7.67
2016,Campbell,recruiting,76.67,6.67
2016,Morgan State,recruiting,76.67,6.67
2016,Texas Southern,recruiting,76.67,6.67
2016,Central Connecticut State,recruiting,76.67,6.67
2016,North Alabama,recruiting,76.67,6.67
2016,Drake,recruiting,75.31,5.31
2016,Wagner,recruiting,70.0,0.0
2017,Alabama,recruiting,93.76,323.87
2017,Ohio State,recruiting,94.59,312.14
2017,Georgia,recruiting,92.27,301.6
2017,USC,recruiting,91.93,297.1
2017,Michigan,recruiting,91.2,296.03
2017,Florida State,recruiting,91.1,292.88
2017,LSU,recruiting,91.05,287.66
2017,Oklahoma,recruiting,89.93,270.79
2017,Auburn,recruiting,89.34,255.92
2017,Notre Dame,recruiting,89.37,251.32
2017,Florida,recruiting,89.11,251.23
2017,Miami,recruiting,88.68,248.67
2017,Texas A&M,recruiting,87.93,248.58
2017,Stanford,recruiting,92.56,246.79
2017,Penn State,recruiting,88.32,240.47
2017,Clemson,recruiting,92.1,238.91
2017,Tennessee,recruiting,87.24,237.21
2017,Maryland,recruiting,86.86,230.17
2017,Oregon,recruiting,87.24,230.04
2017,UCLA,recruiting,88.38,229.13
2017,South Carolina,recruiting,87.14,227.58
2017,Washington,recruiting,88.45,224.74
2017,Nebraska,recruiting,87.81,224.33
2017,Mississippi State,recruiting,86.11,220.22
2017,Texas,recruiting,87.58,217.76
2017,Virginia Tech,recruiting,86.13,217.74
2017,Arkansas,recruiting,86.02,212.74
2017,TCU,recruiting,85.18,210.03
2017,North Carolina,recruiting,86.43,207.81
2017,Kentucky,recruiting,86.04,207.73
2017,Ole Miss,recruiting,86.06,207.63
2017,Arizona State,recruiting,85.45,206.68
2017,Utah,recruiting,86.04,205.78
2017,Louisville,recruiting,85.56,205.15
2017,Colorado,recruiting,85.21,203.78
2017,Michigan State,recruiting,84.9,203.65
2017,Pittsburgh,recruiting,84.94,202.12
2017,Oklahoma State,recruiting,84.95,194.18
2017,Wisconsin,recruiting,85.82,193.87
2017,Baylor,recruiting,84.6,193.36
2017,Iowa,recruiting,84.52,191.44
2017,Rutgers,recruiting,83.71,189.01
2017,Missouri,recruiting,84.59,187.71
2017,Washington State,recruiting,83.63,186.45
2017,Arizona,recruiting,84.11,185.88
2017,Illinois,recruiting,83.71,185.24
2017,Duke,recruiting,84.9,184.46
2017,Georgia Tech,recruiting,83.89,184.4
2017,Texas Tech,recruiting,84.84,183.07
2017,Northwestern,recruiting,85.04,182.07
2017,Oregon State,recruiting,83.85,181.32
2017,Iowa State,recruiting,83.9,180.53
2017,NC State,recruiting,84.68,180.46
2017,Syracuse,recruiting,83.57,180.08
2017,UCF,recruiting,83.36,178.34
2017,Memphis,recruiting,81.87,177.6
2017,West Virginia,recruiting,84.18,174.68
2017,Virginia,recruiting,83.13,172.5
2017,Minnesota,recruiting,83.24,171.42
2017,Florida Atlantic,recruiting,82.14,171.18
2017,Kansas State,recruiting,83.33,169.37
2017,Indiana,recruiting,83.19,167.99
2017,Cincinnati,recruiting,82.7,167.8
2017,Boise State,recruiting,83.11,167.43
2017,Vanderbilt,recruiting,83.4,167.42
2017,BYU,recruiting,81.92,167.37
2017,Boston College,recruiting,82.63,162.61
2017,Wake Forest,recruiting,82.69,161.99
2017,Houston,recruiting,82.38,160.34
2017,California,recruiting,84.01,159.53
2017,Kansas,recruiting,82.18,159.35
2017,Purdue,recruiting,81.88,158.89
2017,Colorado State,recruiting,81.15,158.09
2017,Southern Miss,recruiting,80.87,152.71
2017,UTSA,recruiting,80.81,151.48
2017,South Florida,recruiting,81.65,150.65
2017,San Diego State,recruiting,81.25,149.69
2017,Toledo,recruiting,80.82,146.6
2017,East Carolina,recruiting,80.83,144.55
2017,SMU,recruiting,81.13,140.4
2017,Bowling Green,recruiting,79.73,138.14
2017,Western Kentucky,recruiting,79.7,138.03
2017,FIU,recruiting,81.03,137.75
2017,Fresno State,recruiting,79.96,137.74
2017,Tulsa,recruiting,79.87,135.07
2017,Hawaii,recruiting,79.27,133.96
2017,Marshall,recruiting,80.06,132.84
2017,Navy,recruiting,78.0,131.73
2017,Western Michigan,recruiting,79.79,129.94
2017,Ball State,recruiting,79.15,128.8
2017,Middle Tennessee,recruiting,80.02,128.1
2017,Texas State,recruiting,79.17,127.89
2017,Central Michigan,recruiting,79.09,127.4
2017,Miami (OH),recruiting,79.78,126.73
2017,Nevada,recruiting,78.8,125.03
2017,Troy,recruiting,79.29,123.9
2017,Northern Illinois,recruiting,78.92,122.74
2017,San Jose State,recruiting,78.89,122.11
2017,Wyoming,recruiting,78.83,122.05
2017,Louisiana Tech,recruiting,79.6,121.72
2017,UConn,recruiting,79.39,121.64
2017,Louisiana-Monroe,recruiting,78.63,121.55
2017,Ohio,recruiting,78.81,120.83
2017,Utah State,recruiting,78.99,120.0
2017,Georgia State,recruiting,79.34,119.23
2017,Georgia Southern,recruiting,78.89,118.78
2017,Appalachian State,recruiting,79.14,116.78
2017,UAB,recruiting,77.89,115.95
2017,Air Force,recruiting,76.48,115.88
2017,UMass,recruiting,78.84,115.82
2017,Arkansas State,recruiting,78.76,114.91
2017,Tulane,recruiting,78.55,114.66
2017,Buffalo,recruiting,78.23,112.97
2017,Charlotte,recruiting,78.25,111.82
2017,North Texas,recruiting,78.79,111.16
2017,South Alabama,recruiting,78.82,110.24
2017,UNLV,recruiting,78.75,109.9
2017,New Mexico,recruiting,78.98,109.85
2017,Temple,recruiting,78.76,108.13
2017,Army,recruiting,76.83,106.37
2017,Louisiana,recruiting,78.52,104.33
2017,Rice,recruiting,78.45,101.12
2017,Eastern Michigan,recruiting,76.97,100.97
2017,Old Dominion,recruiting,77.99,99.41
2017,Harvard,recruiting,78.89,99.16
2017,Coastal Carolina,recruiting,76.46,96.51
2017,Yale,recruiting,80.19,95.54
2017,Kent State,recruiting,77.04,94.88
2017,New Mexico State,recruiting,76.64,94.57
2017,Eastern Washington,recruiting,78.0,92.82
2017,Akron,recruiting,77.09,88.91
2017,Austin Peay,recruiting,75.55,88.84
2017,UTEP,recruiting,77.2,85.51
2017,Idaho,recruiting,76.85,83.36
2017,North Dakota State,recruiting,76.87,82.65
2017,Grand Valley State,recruiting,76.82,79.98
2017,Southern Illinois,recruiting,77.64,79.79
2017,Mercer,recruiting,77.3,79.49
2017,Pennsylvania,recruiting,77.64,79.22
2017,Northern Arizona,recruiting,77.58,77.63
2017,Villanova,recruiting,78.36,73.85
2017,Eastern Kentucky,recruiting,78.3,73.32
2017,Montana State,recruiting,77.63,71.96
2017,South Dakota State,recruiting,77.14,70.87
2017,Sam Houston,recruiting,80.6,69.78
2017,South Dakota,recruiting,76.95,69.54
2017,James Madison,recruiting,78.26,67.71
2017,Jacksonville State,recruiting,78.18,66.06
2017,Weber State,recruiting,76.96,64.24
2017,West Georgia,recruiting,80.67,61.3
2017,Chattanooga,recruiting,77.54,60.61
2017,Delaware,recruiting,78.88,58.54
2017,Stephen F. Austin,recruiting,77.73,56.96
2017,Southern Utah,recruiting,76.61,56.45
2017,Princeton,recruiting,79.74,56.04
2017,Illinois State,recruiting,76.86,54.55
2017,UC Davis,recruiting,77.36,54.27
2017,North Dakota,recruiting,76.61,53.96
2017,Stony Brook,recruiting,79.07,51.96
2017,Kennesaw State,recruiting,77.86,51.87
2017,Texas Southern,recruiting,77.92,51.76
2017,Savannah State,recruiting,78.67,49.86
2017,UT Martin,recruiting,76.64,49.44
2017,Montana,recruiting,77.42,48.96
2017,Northern Colorado,recruiting,77.35,47.94
2017,Lamar,recruiting,76.36,47.23
2017,Columbia,recruiting,75.86,43.63
2017,Monmouth,recruiting,78.32,40.88
2017,Tennessee State,recruiting,78.41,40.82
2017,Lafayette,recruiting,77.02,40.25
2017,Liberty,recruiting,80.21,40.17
2017,William & Mary,recruiting,78.16,39.61
2017,Portland State,recruiting,76.57,37.83
2017,Brown,recruiting,77.78,37.71
2017,Western Illinois,recruiting,77.4,36.02
2017,Dartmouth,recruiting,77.22,35.05
2017,Houston Christian,recruiting,78.72,34.26
2017,Southeast Missouri State,recruiting,76.96,33.67
2017,Prairie View A&M,recruiting,76.84,33.37
2017,Cornell,recruiting,76.6,32.15
2017,Missouri State,recruiting,78.15,32.02
2017,Sacramento State,recruiting,76.48,31.33
2017,McNeese,recruiting,77.9,31.02
2017,Holy Cross,recruiting,80.26,30.54
2017,Tennessee Tech,recruiting,77.66,30.13
2017,The Citadel,recruiting,77.63,29.98
2017,Jackson State,recruiting,84.4,28.73
2017,Western Carolina,recruiting,75.84,28.39
2017,East Tennessee State,recruiting,79.34,27.81
2017,Howard,recruiting,79.33,27.75
2017,Northern Iowa,recruiting,78.99,26.77
2017,North Carolina Central,recruiting,76.76,26.67
2017,Abilene Christian,recruiting,78.59,25.51
2017,Alcorn State,recruiting,78.48,25.22
2017,Fordham,recruiting,76.36,24.95
2017,Indiana State,recruiting,76.24,24.61
2017,Lehigh,recruiting,76.15,24.26
2017,Youngstown State,recruiting,78.09,24.07
2017,Richmond,recruiting,77.63,22.7
2017,Alabama A&M,recruiting,75.54,21.83
2017,Northwestern State,recruiting,75.53,21.78
2017,Samford,recruiting,75.47,21.72
2017,Albany,recruiting,76.84,20.4
2017,Towson,recruiting,76.21,18.5
2017,Florida A&M,recruiting,76.05,18.09
2017,Wofford,recruiting,75.87,17.5
2017,Morgan State,recruiting,77.88,15.74
2017,Charleston Southern,recruiting,77.79,15.53
2017,Stetson,recruiting,75.1,15.21
2017,Saint Francis (PA),recruiting,77.49,14.94
2017,Cal Poly,recruiting,77.25,14.46
2017,East Texas A&M,recruiting,77.08,14.12
2017,New Hampshire,recruiting,76.82,13.6
2017,North Alabama,recruiting,76.67,13.29
2017,Southern,recruiting,76.5,12.97
2017,Furman,recruiting,76.32,12.6
2017,Delaware State,recruiting,81.65,11.65
2017,Campbell,recruiting,81.39,11.39
2017,Murray State,recruiting,75.5,10.99
2017,Dayton,recruiting,75.36,10.68
2017,Maine,recruiting,75.14,10.24
2017,Colgate,recruiting,80.05,10.05
2017,South Carolina State,recruiting,79.98,9.98
2017,Incarnate Word,recruiting,79.9,9.9
2017,Southeastern Louisiana,recruiting,79.03,9.03
2017,Idaho State,recruiting,78.17,8.17
2017,Bethune-Cookman,recruiting,77.76,7.76
2017,Central Arkansas,recruiting,77.63,7.63
2017,Virginia Military Institute,recruiting,76.81,6.81
2017,Eastern Illinois,recruiting,76.67,6.67
2017,Marist,recruiting,76.67,6.67
2017,Elon,recruiting,76.67,6.67
2017,San Diego,recruiting,76.67,6.67
2017,Nicholls,recruiting,76.67,6.67
2017,Sacred Heart,recruiting,72.97,5.92
2017,Morehead State,recruiting,75.81,5.81
2017,Seton Hall,recruiting,74.0,4.0
2017,North Carolina A&T,recruiting,71.48,2.97
2017,Gardner-Webb,recruiting,71.97,1.97
2018,Georgia,recruiting,94.23,323.31
2018,Ohio State,recruiting,94.29,317.06
2018,Texas,recruiting,92.16,300.06
2018,USC,recruiting,94.23,291.2
2018,Alabama,recruiting,91.94,289.94
2018,Penn State,recruiting,91.7,285.92
2018,Clemson,recruiting,93.45,283.67
2018,Miami,recruiting,90.99,280.87
2018,Oklahoma,recruiting,90.95,276.62
2018,Notre Dame,recruiting,90.05,268.86
2018,Florida State,recruiting,90.91,265.42
2018,Auburn,recruiting,90.22,262.77
2018,Oregon,recruiting,89.18,260.22
2018,Florida,recruiting,90.75,259.56
2018,LSU,recruiting,90.11,254.38
2018,Washington,recruiting,90.21,253.23
2018,Texas A&M,recruiting,89.56,251.2
2018,South Carolina,recruiting,88.97,242.04
2018,UCLA,recruiting,87.32,237.77
2018,North Carolina,recruiting,87.8,232.27
2018,Tennessee,recruiting,87.57,231.34
2018,Michigan,recruiting,88.75,230.56
2018,Nebraska,recruiting,87.65,228.64
2018,Virginia Tech,recruiting,87.46,226.01
2018,TCU,recruiting,87.13,224.13
2018,NC State,recruiting,86.58,220.57
2018,Mississippi State,recruiting,87.2,218.47
2018,Maryland,recruiting,86.98,218.34
2018,Baylor,recruiting,86.77,215.02
2018,Michigan State,recruiting,87.0,214.3
2018,Louisville,recruiting,86.53,213.58
2018,Ole Miss,recruiting,86.56,211.49
2018,Utah,recruiting,85.69,209.95
2018,Oklahoma State,recruiting,86.52,209.93
2018,West Virginia,recruiting,86.4,208.32
2018,Arizona State,recruiting,85.8,207.06
2018,Kentucky,recruiting,86.11,206.91
2018,Minnesota,recruiting,86.22,206.66
2018,Stanford,recruiting,87.65,205.28
2018,Iowa,recruiting,85.61,203.34
2018,Vanderbilt,recruiting,86.19,202.04
2018,California,recruiting,85.67,197.41
2018,Missouri,recruiting,85.28,197.38
2018,Georgia Tech,recruiting,85.23,196.94
2018,Arkansas,recruiting,86.21,196.17
2018,Wisconsin,recruiting,86.48,195.04
2018,Washington State,recruiting,84.48,194.84
2018,Pittsburgh,recruiting,85.84,193.19
2018,Cincinnati,recruiting,84.43,192.64
2018,Indiana,recruiting,84.9,190.77
2018,Syracuse,recruiting,85.27,189.86
2018,Purdue,recruiting,84.69,188.31
2018,Colorado,recruiting,84.49,187.11
2018,Illinois,recruiting,83.81,185.83
2018,Iowa State,recruiting,84.81,185.19
2018,Rutgers,recruiting,84.29,184.28
2018,Boise State,recruiting,83.42,183.62
2018,Northwestern,recruiting,85.43,180.18
2018,Virginia,recruiting,84.45,178.6
2018,Kansas,recruiting,83.54,178.59
2018,Arizona,recruiting,84.83,178.03
2018,UCF,recruiting,83.62,177.87
2018,Duke,recruiting,85.74,176.85
2018,Wake Forest,recruiting,84.28,176.31
2018,South Florida,recruiting,83.59,176.25
2018,Kansas State,recruiting,83.75,175.65
2018,Toledo,recruiting,82.62,174.22
2018,Tulane,recruiting,82.66,173.75
2018,FIU,recruiting,82.5,173.58
2018,Oregon State,recruiting,83.28,173.54
2018,Boston College,recruiting,83.65,172.47
2018,Texas Tech,recruiting,83.76,169.87
2018,Houston,recruiting,82.56,167.14
2018,Marshall,recruiting,81.23,165.85
2018,Florida Atlantic,recruiting,83.04,163.9
2018,Western Michigan,recruiting,82.88,163.69
2018,Louisiana Tech,recruiting,82.2,162.18
2018,BYU,recruiting,81.35,160.52
2018,San Diego State,recruiting,81.52,159.56
2018,Southern Miss,recruiting,81.34,157.89
2018,Memphis,recruiting,81.56,157.28
2018,Nevada,recruiting,79.89,154.95
2018,Western Kentucky,recruiting,81.49,154.77
2018,Temple,recruiting,81.34,154.08
2018,UTSA,recruiting,81.46,152.99
2018,Colorado State,recruiting,81.35,152.79
2018,SMU,recruiting,82.08,151.67
2018,Arkansas State,recruiting,81.12,147.72
2018,East Carolina,recruiting,81.09,147.43
2018,Georgia Southern,recruiting,80.41,147.26
2018,Bowling Green,recruiting,80.79,143.76
2018,Fresno State,recruiting,80.18,141.73
2018,Northern Illinois,recruiting,80.59,141.69
2018,San Jose State,recruiting,79.48,140.86
2018,Georgia State,recruiting,80.23,140.45
2018,Hawaii,recruiting,79.65,138.46
2018,Tulsa,recruiting,80.36,137.25
2018,Troy,recruiting,81.02,136.65
2018,UNLV,recruiting,79.71,131.08
2018,Kent State,recruiting,79.47,127.72
2018,North Texas,recruiting,79.87,126.6
2018,UConn,recruiting,79.75,125.87
2018,UAB,recruiting,79.82,125.49
2018,Middle Tennessee,recruiting,79.75,125.31
2018,Louisiana,recruiting,80.01,124.91
2018,Navy,recruiting,78.21,124.71
2018,Texas State,recruiting,79.02,124.24
2018,UMass,recruiting,78.85,123.66
2018,Utah State,recruiting,79.09,123.61
2018,Eastern Michigan,recruiting,79.21,121.54
2018,Charlotte,recruiting,78.77,120.43
2018,Rice,recruiting,78.68,120.42
2018,Appalachian State,recruiting,78.94,120.2
2018,Coastal Carolina,recruiting,78.23,120.13
2018,South Alabama,recruiting,78.58,120.03
2018,Princeton,recruiting,79.87,119.03
2018,Army,recruiting,77.68,118.69
2018,Louisiana-Monroe,recruiting,78.76,116.57
2018,Air Force,recruiting,77.89,115.6
2018,Ball State,recruiting,78.6,115.57
2018,Central Michigan,recruiting,79.19,111.22
2018,Ohio,recruiting,78.63,110.94
2018,Yale,recruiting,78.93,110.5
2018,New Mexico,recruiting,77.95,110.31
2018,New Mexico State,recruiting,78.32,109.3
2018,Akron,recruiting,79.15,108.81
2018,Old Dominion,recruiting,78.2,108.27
2018,Wyoming,recruiting,78.01,106.96
2018,UTEP,recruiting,77.15,105.24
2018,Miami (OH),recruiting,79.25,103.16
2018,Montana State,recruiting,79.83,95.13
2018,Harvard,recruiting,79.08,91.71
2018,Idaho,recruiting,76.64,90.2
2018,Austin Peay,recruiting,77.43,88.36
2018,North Dakota State,recruiting,76.4,86.92
2018,Buffalo,recruiting,77.76,81.31
2018,Liberty,recruiting,79.19,80.33
2018,Mercer,recruiting,79.06,80.23
2018,Chattanooga,recruiting,79.77,80.04
2018,Jacksonville State,recruiting,78.84,78.62
2018,Eastern Washington,recruiting,76.36,75.03
2018,Eastern Kentucky,recruiting,75.85,73.04
2018,Southern Illinois,recruiting,79.43,62.46
2018,Tennessee Tech,recruiting,79.19,60.57
2018,UT Martin,recruiting,78.82,58.52
2018,Pennsylvania,recruiting,79.87,57.03
2018,Kennesaw State,recruiting,77.09,52.75
2018,Stephen F. Austin,recruiting,77.65,50.86
2018,Grambling State,recruiting,79.23,44.91
2018,Columbia,recruiting,78.73,42.38
2018,UC Davis,recruiting,78.01,39.09
2018,Alcorn State,recruiting,79.69,38.0
2018,Western Carolina,recruiting,77.74,37.75
2018,Central Arkansas,recruiting,79.51,37.36
2018,Lamar,recruiting,76.41,36.55
2018,Howard,recruiting,78.8,34.71
2018,Tennessee State,recruiting,78.82,34.68
2018,Furman,recruiting,77.11,34.46
2018,Sacramento State,recruiting,78.39,33.19
2018,Southern Utah,recruiting,78.37,33.12
2018,James Madison,recruiting,78.35,32.8
2018,Weber State,recruiting,77.95,31.5
2018,Stony Brook,recruiting,78.02,31.48
2018,Jackson State,recruiting,85.75,31.44
2018,Montana,recruiting,77.84,30.84
2018,Missouri State,recruiting,80.32,30.73
2018,Illinois State,recruiting,75.25,30.7
2018,North Dakota,recruiting,76.2,30.23
2018,Murray State,recruiting,79.5,28.3
2018,North Alabama,recruiting,75.75,27.96
2018,Fordham,recruiting,79.17,27.25
2018,Grand Valley State,recruiting,75.57,27.19
2018,East Texas A&M,recruiting,83.58,27.1
2018,Northern Iowa,recruiting,76.74,26.73
2018,Campbell,recruiting,78.85,26.31
2018,Dartmouth,recruiting,76.47,25.43
